"","occup","max_lag","max_acf"
"accountant","accountant",0,0.297957938348604
"architect","architect",-1,0.520810896308437
"artist","artist",0,0.76438000771517
"athlete","athlete",-1,0.309796154283214
"attendant","attendant",3,0.185603227694005
"author","author",0,0.69329311615152
"baker","baker",-1,0.618111163083794
"broker","broker",0,0.446623539063856
"carpenter","carpenter",0,0.259201521812933
"cashier","cashier",0,0.531227093511681
"clergy","clergy",0,0.670875493025148
"clerical","clerical",0,0.483515411860758
"clerk","clerk",-4,0.377358561077025
"conductor","conductor",0,0.564941147600397
"cook","cook",-1,0.542381488781845
"driver","driver",7,0.388374880562403
"economist","economist",0,0.753166910315892
"engineer","engineer",0,0.469156805032265
"farmer","farmer",-9,0.133691497386868
"housekeeper","housekeeper",0,0.308240798317386
"laborer","laborer",0,0.573713140730351
"librarian","librarian",0,0.625229046557474
"mathematician","mathematician",4,0.223628243647618
"midwife","midwife",0,0.418286129473831
"nurse","nurse",9,0.155234428905277
"official","official",-1,0.514960034185031
"operator","operator",3,0.266742478895668
"photographer","photographer",0,0.598314672717855
"pilot","pilot",0,0.440082601473098
"police","police",0,0.435328307357997
"psychologist","psychologist",0,0.671028357074491
"sailor","sailor",3,0.168532633851717
"scientist","scientist",0,0.69658497271748
"secretary","secretary",3,0.216110558941756
"soldier","soldier",-2,0.344295905146734
"student","student",0,0.353579632473218
"tailor","tailor",-1,0.470675253348626
"teacher","teacher",3,0.413111711105445
